UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,BORD_RIV,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FED_NONFED,FEOW_ID,FRAME08,FRAME13,FRAME18,FRAMEEW,FRAMEWS,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MAJ_RIV_NM,MAJ_RIVER,MIS_BAS_NM,MIS_BASIN,MISS_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,OWN_NARS,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PROB_CAT,PSTL_CODE,REACHCODE,SF_ST_ID,SITETYPE,SOURCE,STATE_NM,STATE_SF,STATECTY,STRAH_CAL,STRAH_CAT,STRAH_ORD,STRATUM,TNT_CAT,URBN_NRS08,URBN_NRS18,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,USFS,WGT_CAT,WGT_DSGN,WGT_TP_EXTENT,XCOORD,YCOORD,WGT_TP_CORE
2014737,7/8/2021,NRS18_OK_10062,6/20/2018,1,2018,NRS_OK-10090,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Roger Mills,3142124,StreamRiverPer,663.935,Region_06,Target_Sampled,46006,Federal,144,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1101653,Sergeant Major Creek,H11,MS,H11130301,Washita Headwaters,35.54538886,-99.72270533,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Sergeant Major Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_13NR_WPT_SS_Base,NRS18_13_TSS,OK_WPT_SS,OK,R11130301000258,None,PROB,NHDPlusV1,Oklahoma,Include,F40129,2,SmallStreams,2,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27q,Rolling Red Hills,Not_Forest_Service,OK_SS_SPL_Include,1403.877816,285.9144998,-334492.2,-212396.1,476.5241663
2012488,7/8/2021,NRS18_OK_10431,6/25/2018,1,2018,NRS_OK-10206,2018-19,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,Not_Border,Craig,21769803,StreamRiverPer,240.81,Region_06,Target_Sampled,46006,Federal,146,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1099976,Wolfe Creek,H11,MS,H11070209,Lower Neosho,36.90216839,-95.16425506,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,Wolfe Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_FPF_SS_Over,NRS18_18,OK_FPF_SS,OK,R11070209000527,None,PROB,NHDPlusv2,Oklahoma,Include,F40035,1,SmallStreams,1,OK,Target,Non-Urban,Non-Urban,40,Central Irregular Plains,40b,Osage Cuestas,Not_Forest_Service,OK_SS_TPL_Include,1739.323851,415.5366136,73775.19714,-66667.38347,664.8585818
2012489,7/8/2021,NRS18_OK_10025,7/2/2018,1,2018,NRS_OK-10180,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,Not_Border,Bryan,700772,StreamRiverPer,140.37,Region_06,Target_Sampled,46006,Federal,145,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1090292,Blue River,H11,MS,H11140102,Blue,33.92944924,-96.0702418,Arkansas-White-Red Region,H11,Blue River,Additional,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Blue River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_TFO_LS_Base,NRS18_18,OK_TFO_LS,OK,R11140102000005,None,PROB,NHDPlusv2,Oklahoma,Include,F40013,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,35,South Central Plains,35d,Cretaceous Dissected Uplands,Not_Forest_Service,OK_LS_CPL_Include_18,1257.257683,96.97299706,-6446.568611,-399691.674,96.97299706
2012490,7/8/2021,NRS18_WI_10091,7/2/2018,1,2018,NRS_WI-10211,2018-19,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,Not_Border,Green,13426309,StreamRiverPer,241.03,Region_05,Target_Sampled,46006,Federal,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,0,None,H07,MS,H07090004,Sugar,42.5368677,-89.39556013,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.2,CENTRAL USA PLAINS,None,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_OverSS_TPL,NRS18_18,WI_SS_TPL,WI,R07090004000666,None,PROB,NHDPlusv2,Wisconsin,Include,F55045,1,SmallStreams,1,WI,Target,Non-Urban,Non-Urban,53,Southeastern Wisconsin Till Plains,53a,Rock River Drift Plain,Not_Forest_Service,WI_SS_TPL_Include,1200.445832,1467.248638,538716.363,582888.3968,1676.855586
2012491,7/8/2021,NRS18_WI_10006,7/12/2018,1,2018,NRS_WI-10087,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Marinette,6847893,StreamRiverPer,254.75,Region_05,Target_Sampled,46006,Federal,116,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1571390,Pike River,H04,GL,H04030108,Menominee,45.49625722,-87.98249295,Great Lakes Region,H04,Not Major River,NotMajorRiver,Not Miss River Basin,NMRB,Not_Mississippi_Basin,5,NORTHERN FORESTS,5.2,MIXED WOOD SHIELD,Pike River,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3_BaseStream,NRS18_08_TSS,WI_Streams_WI_4th,WI,R04030108000203,None,PROB,NHDPlusV1,Wisconsin,Include,F55075,4,LargeStreams,4,WI,Target,Non-Urban,Non-Urban,50,Northern Lakes and Forests,50k,Wisconsin/Michigan Pine Barrens,Not_Forest_Service,WI_LS_UMW_Include,2856.087535,259.5559363,625924.8,920542.7,351.1639138
2012492,7/8/2021,NRS18_OK_10001,7/16/2018,2,2018,NRS_OK-10053,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Lincoln,532475,StreamRiverPer,266.11,Region_06,Target_Sampled,46006,Federal,144,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1089912,Bear Creek,H11,MS,H11100303,Deep Fork,35.7493094,-97.13433463,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Bear Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_FPF_LS_Base,NRS18_08_TSS,OK_FPF_LS,OK,R11100303000329,None,PROB,NHDPlusV1,Oklahoma,Include,F40081,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,29,Cross Timbers,29a,Northern Cross Timbers,Not_Forest_Service,OK_LS_SPL_Include,791.135146,224.0798512,-101673.3,-195512.3,280.099814
2012493,7/8/2021,NRS18_OK_11085,7/16/2018,1,2018,NRS_OK-10220,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Grant,21002191,StreamRiverPer,316.95,Region_06,Target_Sampled,46006,Federal,144,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,470112,Pond Creek,H11,MS,H11060004,Lower Salt Fork Arkansas,36.71441566,-97.79295371,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Pond Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_WPT_LS_Over,NRS18_18,OK_WPT_LS,OK,R11060004000067,None,PROB,NHDPlusv2,Oklahoma,Include,F40053,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27d,Prairie Tableland,Not_Forest_Service,OK_LS_SPL_Include,1615.475893,224.0798512,-158662.0831,-86530.61793,280.099814
2012494,7/8/2021,NRS18_WI_10053,7/16/2018,1,2018,NRS_WI-10201,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Clark,13134283,StreamRiverPer,339.84,Region_05,Target_Sampled,46006,Federal,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1564319,East Fork Black River,H07,MS,H07040007,Black,44.55819594,-90.32250897,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,East Fork Black River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_BaseLS_UMW,NRS18_18,WI_LS_UMW,WI,R07040007000167,None,PROB,NHDPlusv2,Wisconsin,Include,F55019,3,LargeStreams,3,WI,Target,Non-Urban,Non-Urban,51,North Central Hardwood Forests,51b,Central Wisconsin Undulating Till Plain,Not_Forest_Service,WI_LS_UMW_Include,971.9797738,259.5559363,449734.6505,803184.559,351.1639138
2012495,7/8/2021,NRS18_OK_10053,7/17/2018,1,2018,NRS_OK-10196,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Logan,255614,ArtificialPathStreamPer,286.49,Region_06,Target_Sampled,55800,Federal,144,Include,Include,Include,Include,Include,Not_USFS,ArtificialPath,1091369,Cimarron River,H11,MS,H11050002,Lower Cimarron-Skeleton,35.88536261,-97.61348318,Arkansas-White-Red Region,H11,Cimarron River,Additional,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Cimarron River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_WPT_RM_Base,NRS18_18,OK_WPT_RM,OK,R11050002001972,None,PROB,NHDPlusv2,Oklahoma,Include,F40083,6,RiversMajor,6,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27l,Pleistocene Sand Dunes,Not_Forest_Service,OK_RV_SPL_Include,689.1144244,159.783189,-144358.4661,-179660.0877,198.3515449
2012496,7/8/2021,NRS18_OK_10050,7/17/2018,2,2018,NRS_OK-10047,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Roger Mills,5265128,ArtificialPathStreamPer,582.48,Region_06,Target_Sampled,55800,Federal,144,Include,Include,Include,Exclude,Exclude,Not_USFS,ArtificialPath,1101881,Canadian River,H11,MS,H11090201,Lower Canadian-Deer,35.92581867,-99.51524603,Arkansas-White-Red Region,H11,Canadian River,MajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Canadian River,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_WPT_RM_Base,NRS18_08_TSS,OK_WPT_RM,OK,R11090201001450,None,PROB,NHDPlusV1,Oklahoma,Include,F40129,7,RiversMajor,7,OK,Target,Non-Urban,Non-Urban,27,Central Great Plains,27q,Rolling Red Hills,Not_Forest_Service,OK_RV_SPL_Include,145.1496072,159.783189,-314285.2,-170542.2,198.3515449
