"","VISIT_ID","NTL_PPM","PTL_PPB","NH4N_PPM","NO3N_PPM","DOC_PPM","DIN_PPM","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","ECO_REG","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME","CHLA_PPB","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"1",1000001,0.396,22,0.0021,0,4.78,0.0021,"NLA12_MS-116",1,2012-06-05,"PROB",-89.76398489,34.0051522,"Region_4",86.11680828,"No","MAN_MADE",23.67721306,100.53,8030205,"NLA_MS-10033","CPL","Poor","Good","Good","Mesotrophic",39.8035065298779,2.82715784964661e-05,1.49925037481259e-07,0,7.10278590034383e-07,0.000398001665278934,1.49925037481259e-07,"Coastal Plains",3.944,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"2",1000011,0.99,45,0.0099,0,6.95,0.0099,"NLA12_MS-119",1,2012-06-07,"PROB",-90.01403557,32.9204524,"Region_4",355.5231534,"No","MAN_MADE",8.523870462,90.21,8060201,"NLA_MS-10036","CPL","Fair","Poor","Fair","Eutrophic",48.6487302031841,7.06789462411651e-05,7.06789462411651e-07,0,1.45284257052487e-06,0.000578684429641965,7.06789462411651e-07,"Coastal Plains",23.04,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"3",1000013,0.261,18,0.011,0.002,5.61,0.013,"NLA12_VT-101",1,2012-06-18,"PROB",-71.81189261,44.44652025,"Region_1",81.24782053,"No","NATURAL",82.15968773,312.89,1080103,"NLA_VT-10011","NAP","Good","Good","Fair","Oligotrophic",32.063935815735,1.86335403726708e-05,7.85321624901835e-07,1.42785749982152e-07,5.8113702820995e-07,0.000467110741049126,9.28107374883987e-07,"Northern Appalachians",0.952,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"4",1000014,0.445,30,0.004,0.002,6.5,0.006,"NLA12_TX-141",1,2012-06-18,"PROB",-94.35710738,31.70876097,"Region_6",24.85716519,"No","MAN_MADE",214.6028942,94.15,12020005,"NLA_TX-10120","CPL","Poor","Good","Good","Eutrophic",32.8010377885105,3.17698293710288e-05,2.85571499964304e-07,1.42785749982152e-07,9.6856171368325e-07,0.000541215653621982,4.28357249946455e-07,"Coastal Plains",7.064,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"5",1000015,4.065,54,3.18,0.078,0.23,3.258,"NLA12_TX-169",1,2012-06-19,"PROB",-94.907485,32.19966096,"Region_6",24.85716519,"No","MAN_MADE",30.07304761,124.94,12020004,"NLA_TX-10148","CPL","Good","Poor","Poor","Oligotrophic",166.462195518471,0.000290212036838724,0.000227029342471621,5.56864424930392e-06,1.74341108462985e-06,1.9150707743547e-05,0.000232597986720925,"Coastal Plains",1.245333333,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","OLIGOTROPHIC (<= 2 ug/L)"
"6",1000016,0.16,20,0.0025,0.002,3.22,0.0045,"NLA12_OR-133",1,2012-06-20,"PROB",-123.2788429,43.59526826,"Region_10",13.16103073,"No","MAN_MADE",14.30226557,108.12,17100303,"NLA_OR-10087","WMT","Good","Good","Good","Oligotrophic",17.6904473466124,1.14228599985721e-05,1.7848218747769e-07,1.42785749982152e-07,6.45707809122167e-07,0.000268109908409659,3.21267937459842e-07,"Western Mountains",1.424,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"7",1000017,0.625,197,0.0098,0.002,7.12,0.0118,"NLA12_OR-131",1,2012-06-21,"PROB",-123.3427366,44.54893671,"Region_10",44.38030524,"Yes","MAN_MADE",39.04864208,90.61,17090003,"NLA_OR-10019","WMT","Fair","Poor","Poor","Eutrophic",7.01556446169591,4.46205468694224e-05,6.99650174912544e-07,1.42785749982152e-07,6.36022191985334e-06,0.000592839300582848,8.42435924894695e-07,"Western Mountains",20.22857143,"HYPEREUTROPHIC (>100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"8",1000018,0.806,88,0.012,0,4.87,0.012,"NLA12_TX-158",1,2012-06-24,"PROB",-97.56163797,26.06969798,"Region_6",44.38204899,"Yes","MAN_MADE",14.04966974,9.62,12110208,"NLA_TX-10137","CPL","Fair","Poor","Poor","Eutrophic",20.2535519337636,5.75426572428072e-05,8.56714499892911e-07,0,2.84111436013753e-06,0.000405495420482931,8.56714499892911e-07,"Coastal Plains",26.6,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"9",1000019,0.895,383,0.065,0.107,7.99,0.172,"NLA12_ID-107",1,2012-06-25,"PROB",-116.1413012,43.46019017,"Region_10",42.93237433,"Yes","MAN_MADE",33.42354611,973.07,17050114,"NLA_ID-10005","XER","Good","Poor","Poor","Mesotrophic",5.16741200235578,6.38966231170129e-05,4.64053687441993e-06,7.63903762404512e-06,1.23653045446895e-05,0.000665278934221482,1.22795744984651e-05,"Xeric",3.024,"HYPEREUTROPHIC (>100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","MESOTROPHIC (2-7 ug/L))"
"10",1000020,0.25,14,0.03,0.007,3.23,0.037,"NLA12_VT-102",1,2012-06-26,"PROB",-72.23382351,44.71962755,"Region_1",81.24782053,"No","NATURAL",83.35219021,396.91,1110000,"NLA_VT-10005","NAP","Good","Good","Good","Mesotrophic",39.4876056844027,1.7848218747769e-05,2.14178624973228e-06,4.99750124937531e-07,4.51995466385517e-07,0.000268942547876769,2.64153637466981e-06,"Northern Appalachians",3.76,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L))"
"11",1000021,0.839,332,0.074,0.004,10.66,0.078,"NLA12_OR-101",1,2012-06-26,"PROB",-118.4442146,42.77430894,"Region_10",13.5454777,"No","NATURAL",89.8369153,1272.22,17120009,"NLA_OR-10024","XER","Good","Poor","Poor","Mesotrophic",5.58820983577101,5.98986221175127e-05,5.28307274933962e-06,2.85571499964304e-07,1.0718749631428e-05,0.00088759367194005,5.56864424930392e-06,"Xeric",6.492957746,"HYPEREUTROPHIC (>100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","MESOTROPHIC (2-7 ug/L))"
"12",1000022,2.894,114,0.026,0,19.86,0.026,"NLA12_TX-135",1,2012-06-26,"PROB",-98.06124241,26.62195986,"Region_6",134.4562334,"No","MAN_MADE",6.722705342,19.4,12110207,"NLA_TX-10115","CPL","Poor","Poor","Poor","Hypereutrophic",56.1361344529565,0.000206610980224174,1.85621474976797e-06,0,3.68053451199635e-06,0.00165362198168193,1.85621474976797e-06,"Coastal Plains",30.24,"HYPEREUTROPHIC (>100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","HYPEREUTROPHIC (> 30 ug/L)"
"13",1000023,1.06,92,0.023,NA,6.3,NA,"NLA12_WI-101",1,2012-06-26,"PROB",-89.25380131,42.96455549,"Region_5",19.6240585,"Yes","NATURAL",1293.360842,258.46,7090001,"NLA_WI-10025","TPL","Poor","Good","Poor","Hypereutrophic",25.478089928545,7.56764474905404e-05,1.64203612479475e-06,NA,2.97025592196197e-06,0.000524562864279767,NA,"Temperate Plains",46.9,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)"
"14",1000025,7.844,705,0.041,0.011,15.04,0.052,"NLA12_ID-151",1,2012-06-27,"PROB",-114.5997261,43.19840666,"Region_10",3.290387433,"No","MAN_MADE",44.60233911,1678.67,17040219,"NLA_ID-10100","XER","Poor","Poor","Poor","Hypereutrophic",24.6035228700049,0.000560005711429999,2.92710787463411e-06,7.85321624901835e-07,2.27612002715564e-05,0.00125228975853455,3.71242949953595e-06,"Xeric",764.64,"HYPEREUTROPHIC (>100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","HYPEREUTROPHIC (> 30 ug/L)"
"15",1000026,0.61,26,0.0092,0.002,4.48,0.0112,"NLA12_TX-110",1,2012-06-28,"PROB",-96.98672572,33.07855581,"Region_6",7.741669458,"Yes","MAN_MADE",8783.073606,156.97,12030103,"NLA_TX-10031","SPL","Good","Good","Good","Eutrophic",51.880638853046,4.35496537445563e-05,6.56814449917898e-07,1.42785749982152e-07,8.39420151858817e-07,0.000373022481265612,7.9960019990005e-07,"Southern Plains",14.85714286,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"16",1000028,0.8,10,0.018,NA,6.2,NA,"NLA12_WI-102",1,2012-06-27,"PROB",-88.4621617,43.09787438,"Region_5",19.6240585,"Yes","NATURAL",314.752087,262.37,7090001,"NLA_WI-10007","TPL","Good","Good","Good","Oligotrophic",176.904473466124,5.71142999928607e-05,1.28507174983937e-06,NA,3.22853904561083e-07,0.000516236469608659,NA,"Temperate Plains",1.27,"OLIGOTROPHIC (<= 10 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"17",1000029,0.23,41,0.0091,0.002,1.88,0.0111,"NLA12_ID-109",1,2012-06-27,"PROB",-113.4072962,42.67704536,"Region_10",17.45596269,"No","MAN_MADE",3395.548059,1278.65,17040209,"NLA_ID-10008","XER","Good","Good","Good","Eutrophic",12.404886858905,1.64203612479475e-05,6.49675162418791e-07,1.42785749982152e-07,1.32370100870044e-06,0.000156536219816819,7.92460912400942e-07,"Xeric",18.88,"EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","EUTROPHIC (7 to 30 ug/L)"
